user_id,artistname,trackname,playlistname
435faeede7f140d0ab8b4f7765558ecf,Terry Malts,Can't Tell No One,AMPpod 12
435faeede7f140d0ab8b4f7765558ecf,The Soft Moon,Die Life,AMPpod 12
435faeede7f140d0ab8b4f7765558ecf,Queens Of The Stone Age,First It Giveth,AMPpod 12
435faeede7f140d0ab8b4f7765558ecf,Julia Holter,In the Same Room,AMPpod 12
435faeede7f140d0ab8b4f7765558ecf,Crystal Castles,Kerosene,AMPpod 12
435faeede7f140d0ab8b4f7765558ecf,Portico Quartet,Lacker Boo,AMPpod 12
435faeede7f140d0ab8b4f7765558ecf,Santigold,Look At These Hoes,AMPpod 12
435faeede7f140d0ab8b4f7765558ecf,School Of Seven Bells,Scavenger,AMPpod 12
435faeede7f140d0ab8b4f7765558ecf,Stumbleine,Solar Flare,AMPpod 12
435faeede7f140d0ab8b4f7765558ecf,SNAP!,"The Power - 7 Version""",AMPpod 12
435faeede7f140d0ab8b4f7765558ecf,Holy Other,Yr Love,AMPpod 12
435faeede7f140d0ab8b4f7765558ecf,Iamamiwhoami,Drops,AMPpod 13
435faeede7f140d0ab8b4f7765558ecf,Goat,Goatlord,AMPpod 13
435faeede7f140d0ab8b4f7765558ecf,The Mars Volta,Roulette Dares (The Haunt Of),AMPpod 13
435faeede7f140d0ab8b4f7765558ecf,Link Wray & His Ray Men,Rumble,AMPpod 13
435faeede7f140d0ab8b4f7765558ecf,Shearwater,Star of the Age,AMPpod 13
435faeede7f140d0ab8b4f7765558ecf,Metric,Synthetica,AMPpod 13
435faeede7f140d0ab8b4f7765558ecf,Gallon Drunk,The Perfect Dancer,AMPpod 13
435faeede7f140d0ab8b4f7765558ecf,Janelle Monáe,Tightrope - feat. Big Boi,AMPpod 13
435faeede7f140d0ab8b4f7765558ecf,Ghosting Season,Time Without Question - Original Mix,AMPpod 13
435faeede7f140d0ab8b4f7765558ecf,Massive Attack,Unfinished Sympathy - 2006 Digital Remaster,AMPpod 13
435faeede7f140d0ab8b4f7765558ecf,Liars,WIXIW,AMPpod 13
435faeede7f140d0ab8b4f7765558ecf,Stevie Wonder,As,AMPpod 15 - Valentines Special
435faeede7f140d0ab8b4f7765558ecf,Björk,Cocoon,AMPpod 15 - Valentines Special
435faeede7f140d0ab8b4f7765558ecf,Daft Punk,Digital Love,AMPpod 15 - Valentines Special
435faeede7f140d0ab8b4f7765558ecf,Foo Fighters,Everlong,AMPpod 15 - Valentines Special
435faeede7f140d0ab8b4f7765558ecf,The Knife,Heartbeats,AMPpod 15 - Valentines Special
435faeede7f140d0ab8b4f7765558ecf,Nick Cave & The Bad Seeds,Into My Arms - 2011 - Remaster,AMPpod 15 - Valentines Special
435faeede7f140d0ab8b4f7765558ecf,Hot Chip,Look After Me,AMPpod 15 - Valentines Special
435faeede7f140d0ab8b4f7765558ecf,Jeff Buckley,"Lover, You Should've Come Over",AMPpod 15 - Valentines Special
435faeede7f140d0ab8b4f7765558ecf,Queens Of The Stone Age,Make It Wit Chu,AMPpod 15 - Valentines Special
435faeede7f140d0ab8b4f7765558ecf,Arcade Fire,Neighborhood #1 (Tunnels),AMPpod 15 - Valentines Special
435faeede7f140d0ab8b4f7765558ecf,Blur,Tender,AMPpod 15 - Valentines Special
435faeede7f140d0ab8b4f7765558ecf,Kendrick Lamar,"Bitch, Don’t Kill My Vibe",AMPpod 16
435faeede7f140d0ab8b4f7765558ecf,The Stone Roses,I Wanna Be Adored - Remastered,AMPpod 16
435faeede7f140d0ab8b4f7765558ecf,Neil Halstead,Loose Change,AMPpod 16
435faeede7f140d0ab8b4f7765558ecf,Melody's Echo Chamber,Mount Hopeless,AMPpod 16
435faeede7f140d0ab8b4f7765558ecf,Necessary,Se Olvidan Que,AMPpod 16
435faeede7f140d0ab8b4f7765558ecf,Torche,Solitary Traveler,AMPpod 16
435faeede7f140d0ab8b4f7765558ecf,Anna Von Hausswolff,Sova,AMPpod 16
435faeede7f140d0ab8b4f7765558ecf,Twin Shadow,The One,AMPpod 16
435faeede7f140d0ab8b4f7765558ecf,Robert Hood,The Wheel,AMPpod 16
435faeede7f140d0ab8b4f7765558ecf,Phantogram,Turning Into Stone,AMPpod 16
435faeede7f140d0ab8b4f7765558ecf,Earl Sweatshirt,Chum,AMPpod 17
435faeede7f140d0ab8b4f7765558ecf,"Lee Scratch"" Perry""",Disco Devil,AMPpod 17
435faeede7f140d0ab8b4f7765558ecf,Monoswezi,Hondo,AMPpod 17
435faeede7f140d0ab8b4f7765558ecf,The History Of Apple Pie,Mallory,AMPpod 17
435faeede7f140d0ab8b4f7765558ecf,Autechre,Montreal,AMPpod 17
435faeede7f140d0ab8b4f7765558ecf,Tall Ships,Murmurations,AMPpod 17
435faeede7f140d0ab8b4f7765558ecf,Josephine Foster,Panorama Wide,AMPpod 17
435faeede7f140d0ab8b4f7765558ecf,Idlewild,Roseability,AMPpod 17
435faeede7f140d0ab8b4f7765558ecf,Nosaj Thing,Safe,AMPpod 17
435faeede7f140d0ab8b4f7765558ecf,Veronica Falls,Shooting Star,AMPpod 17
435faeede7f140d0ab8b4f7765558ecf,Chairlift,Take It Out On Me,AMPpod 17
435faeede7f140d0ab8b4f7765558ecf,The Twilight Sad,Dead City,AMPpod 18
435faeede7f140d0ab8b4f7765558ecf,Tegan And Sara,"Goodbye, Goodbye",AMPpod 18
435faeede7f140d0ab8b4f7765558ecf,Villagers,Grateful Song,AMPpod 18
435faeede7f140d0ab8b4f7765558ecf,SBTRKT,Hold On (feat. Sampha),AMPpod 18
435faeede7f140d0ab8b4f7765558ecf,Sleigh Bells,Leader of the Pack,AMPpod 18
435faeede7f140d0ab8b4f7765558ecf,Snoop Dogg,Lodi Dodi,AMPpod 18
435faeede7f140d0ab8b4f7765558ecf,John Martyn,May You Never,AMPpod 18
435faeede7f140d0ab8b4f7765558ecf,The Sea and Cake,New Patterns,AMPpod 18
435faeede7f140d0ab8b4f7765558ecf,Mac Demarco,Ode to Viceroy,AMPpod 18
435faeede7f140d0ab8b4f7765558ecf,Unknown Mortal Orchestra,One at a Time,AMPpod 18
435faeede7f140d0ab8b4f7765558ecf,Mala,The Tunnel,AMPpod 18
435faeede7f140d0ab8b4f7765558ecf,Diiv,Human,AMPpod 19
435faeede7f140d0ab8b4f7765558ecf,Porcelain Raft,Put Me To Sleep,AMPpod 19
435faeede7f140d0ab8b4f7765558ecf,Woodpecker Wooliams,Red Kite - Prelude,AMPpod 19
435faeede7f140d0ab8b4f7765558ecf,Nas,Represent,AMPpod 19
435faeede7f140d0ab8b4f7765558ecf,Pere Ubu,The Road Trip of Bipasha Ahmed,AMPpod 19
435faeede7f140d0ab8b4f7765558ecf,Wild Nothing,This Chain Won't Break,AMPpod 19
435faeede7f140d0ab8b4f7765558ecf,Amateur Best,Too Much,AMPpod 19
435faeede7f140d0ab8b4f7765558ecf,2:54,Wait/Awake,AMPpod 19
435faeede7f140d0ab8b4f7765558ecf,Islet,We Bow,AMPpod 19
